"","es","ss_per_period","power","sd","n","se","low_95","high_95","num_per_cluster"
"54",0.05,1350,0.85,0.357967461534687,200,0.0253121219495312,0.800388240978919,0.899611759021081,23
"55",0.1,1350,1,0,200,0,1,1,23
"56",0.15,1350,1,0,200,0,1,1,23
"57",0.03,1450,0.44,0.497632586307181,200,0.0351879376317207,0.371031642241827,0.508968357758173,25
"58",0.05,1450,0.915,0.279581525043642,200,0.0197693992252836,0.876251977518444,0.953748022481556,25
"59",0.1,1450,1,0,200,0,1,1,25
"60",0.15,1450,1,0,200,0,1,1,25
"61",0.03,1550,0.475,0.500627746637677,200,0.0353997274497642,0.405616534198462,0.544383465801538,26
"62",0.05,1550,0.89,0.31367492695304,200,0.022180166793669,0.846526873084409,0.933473126915591,26
"63",0.1,1550,1,0,200,0,1,1,26
"64",0.15,1550,1,0,200,0,1,1,26
"65",0.03,1650,0.485,0.501029091723992,200,0.0354281068329772,0.415560910607365,0.554439089392635,28
"66",0.05,1650,0.905,0.293950735967576,200,0.0207854558737449,0.86426050648746,0.94573949351254,28
"67",0.1,1650,1,0,200,0,1,1,28
"68",0.15,1650,1,0,200,0,1,1,28
"69",0.03,1750,0.575,0.495583509688707,200,0.0350430460345114,0.506315629772358,0.643684370227642,30
"70",0.05,1750,0.915,0.279581525043642,200,0.0197693992252836,0.876251977518444,0.953748022481556,30
"71",0.1,1750,1,0,200,0,1,1,30
"72",0.15,1750,1,0,200,0,1,1,30
"73",0.03,1850,0.555,0.498212886627805,200,0.0352289710609045,0.485951216720627,0.624048783279373,31
"74",0.05,1850,0.925,0.264052301808661,200,0.0186713173196821,0.888404218053423,0.961595781946577,31
"75",0.1,1850,1,0,200,0,1,1,31
"76",0.15,1850,1,0,200,0,1,1,31
"77",0.03,1950,0.6,0.491127305442035,200,0.034727944810394,0.531933228171628,0.668066771828372,33
"78",0.05,1950,0.945,0.228552359218895,200,0.0161610923059864,0.913324259080267,0.976675740919733,33
"79",0.1,1950,1,0,200,0,1,1,33
"80",0.15,1950,1,0,200,0,1,1,33
"81",0.03,2050,0.62,0.486604479632062,200,0.0344081327303582,0.552560059848498,0.687439940151502,35
"82",0.05,2050,0.95,0.218491861329745,200,0.0154497076780334,0.919718572951055,0.980281427048945,35
"83",0.1,2050,1,0,200,0,1,1,35
"84",0.15,2050,1,0,200,0,1,1,35
"85",0.03,2150,0.545,0.499220497904121,200,0.0353002199375328,0.475811568922436,0.614188431077564,36
"86",0.05,2150,0.955,0.207824336336891,200,0.014695399751941,0.926197016486196,0.983802983513804,36
"87",0.1,2150,1,0,200,0,1,1,36
"88",0.15,2150,1,0,200,0,1,1,36
"89",0.03,2250,0.64,0.481204518832402,200,0.0340262978404001,0.573308456232816,0.706691543767184,38
"90",0.05,2250,0.98,0.140351317992784,200,0.0099243368701167,0.960548299734571,0.999451700265429,38
"91",0.1,2250,1,0,200,0,1,1,38
"92",0.15,2250,1,0,200,0,1,1,38
"93",0.03,2350,0.65,0.478166515013758,200,0.0338114785302567,0.583729502080697,0.716270497919303,40
"94",0.05,2350,0.975,0.156516732131699,200,0.0110674042659483,0.953307887638741,0.996692112361259,40
"95",0.1,2350,1,0,200,0,1,1,40
"96",0.15,2350,1,0,200,0,1,1,40
"97",0.03,2450,0.63,0.484015864186206,200,0.0342250899767933,0.562918823645485,0.697081176354515,41
"98",0.05,2450,0.965,0.18424093903932,200,0.0130278017366881,0.939465508596091,0.990534491403909,41
"99",0.1,2450,1,0,200,0,1,1,41
"100",0.15,2450,1,0,200,0,1,1,41
"101",0.03,2550,0.66,0.474897502826615,200,0.0335803244617257,0.594182564055018,0.725817435944982,43
"102",0.05,2550,0.995,0.0707106781186548,200,0.005,0.9852,1.0048,43
"103",0.1,2550,1,0,200,0,1,1,43
"104",0.15,2550,1,0,200,0,1,1,43
"105",0.03,2650,0.685,0.465681539769843,200,0.0329286574644649,0.620459831369649,0.749540168630351,45
"106",0.05,2650,0.99,0.0997484272744117,200,0.00705327893384297,0.976175573289668,1.00382442671033,45
"107",0.1,2650,1,0,200,0,1,1,45
"108",0.15,2650,1,0,200,0,1,1,45
"109",0.03,2750,0.705,0.457187161349171,200,0.0323280142061427,0.64163709215596,0.76836290784404,46
"110",0.05,2750,0.99,0.0997484272744117,200,0.00705327893384297,0.976175573289668,1.00382442671033,46
"111",0.1,2750,1,0,200,0,1,1,46
"112",0.15,2750,1,0,200,0,1,1,46
"113",0.03,2850,0.725,0.447634766770981,200,0.0316525579078619,0.662960986500591,0.787039013499409,48
"114",0.05,2850,0.99,0.0997484272744117,200,0.00705327893384297,0.976175573289668,1.00382442671033,48
"115",0.1,2850,1,0,200,0,1,1,48
"116",0.15,2850,1,0,200,0,1,1,48
"117",0.03,2950,0.705,0.457187161349171,200,0.0323280142061427,0.64163709215596,0.76836290784404,50
"118",0.05,2950,0.98,0.140351317992784,200,0.0099243368701167,0.960548299734571,0.999451700265429,50
"119",0.1,2950,1,0,200,0,1,1,50
"120",0.15,2950,1,0,200,0,1,1,50
"121",0.03,3050,0.755,0.431166467403328,200,0.0304880732921142,0.695243376347456,0.814756623652544,51
"122",0.05,3050,0.985,0.121857483279263,200,0.0086166252765093,0.968111414458042,1.00188858554196,51
"123",0.1,3050,1,0,200,0,1,1,51
"124",0.15,3050,1,0,200,0,1,1,51
"125",0.03,3150,0.735,0.44244069528494,200,0.0312852815908872,0.673680848081861,0.796319151918139,53
"126",0.05,3150,1,0,200,0,1,1,53
"127",0.1,3150,1,0,200,0,1,1,53
"128",0.15,3150,1,0,200,0,1,1,53
"129",0.03,3250,0.785,0.41185326947578,200,0.0291224239700175,0.727920049018766,0.842079950981234,55
"130",0.05,3250,0.995,0.0707106781186548,200,0.005,0.9852,1.0048,55
"131",0.1,3250,1,0,200,0,1,1,55
"132",0.15,3250,1,0,200,0,1,1,55
"133",0.03,3350,0.745,0.436954972784618,200,0.0308973824329187,0.684441130431479,0.805558869568521,56
"134",0.05,3350,0.99,0.0997484272744117,200,0.00705327893384297,0.976175573289668,1.00382442671033,56
"135",0.1,3350,1,0,200,0,1,1,56
"136",0.15,3350,1,0,200,0,1,1,56
"137",0.03,3450,0.745,0.436954972784618,200,0.0308973824329187,0.684441130431479,0.805558869568521,58
"138",0.05,3450,0.995,0.0707106781186548,200,0.005,0.9852,1.0048,58
"139",0.1,3450,1,0,200,0,1,1,58
